time	V(N004,N003)
8.395112315888084e-004	2.309477e+000
8.458430905778629e-004	1.280808e+000
8.505330565913942e-004	3.791411e-001
8.547775599988590e-004	-4.811708e-001
8.590377944326951e-004	-1.300671e+000
8.646776838037372e-004	-2.247352e+000
8.686622563041821e-004	-2.788135e+000
8.707650973389630e-004	-3.003901e+000
8.723312732981519e-004	-3.121731e+000
8.741225364154853e-004	-3.214739e+000
8.761735837850731e-004	-3.271263e+000
8.784103001690221e-004	-3.262857e+000
8.820366954950178e-004	-3.104229e+000
8.867446926716309e-004	-2.667741e+000
8.929515578089511e-004	-1.782859e+000
8.984619521987784e-004	-7.882771e-001
9.028483562278250e-004	8.986795e-002
9.073041853083631e-004	9.774430e-001
9.120754136963769e-004	1.830975e+000
9.176473489195770e-004	2.661381e+000
9.200230009653890e-004	2.935398e+000
9.217746642934229e-004	3.083206e+000
9.234493222771179e-004	3.185359e+000
9.252812468133713e-004	3.256916e+000
9.269579502009555e-004	3.279702e+000
9.296850658595489e-004	3.223472e+000
9.340864490387172e-004	2.939618e+000
9.395128706402667e-004	2.309245e+000
9.458448131872161e-004	1.280491e+000
9.505346041449918e-004	3.788296e-001
9.547790616598632e-004	-4.814732e-001
9.590392334753350e-004	-1.300933e+000
9.646797192627479e-004	-2.247660e+000
9.686629688622551e-004	-2.788221e+000
9.707656218246258e-004	-3.003947e+000
9.723316680151729e-004	-3.121757e+000
9.741230160323950e-004	-3.214761e+000
9.761737625074212e-004	-3.271267e+000
9.784105908807325e-004	-3.262851e+000
9.820371646886343e-004	-3.104199e+000
9.867451228249406e-004	-2.667692e+000
9.929521400250960e-004	-1.782763e+000
9.984622595318122e-004	-7.882183e-001
1.002848606812034e-003	8.991909e-002
1.007304371600541e-003	9.774785e-001
1.012075741110161e-003	1.831029e+000
1.017647505799615e-003	2.661401e+000
1.020023114881917e-003	2.935409e+000
1.021774749434624e-003	3.083213e+000
1.023449424751328e-003	3.185363e+000
1.025281428761761e-003	3.256920e+000
1.026958246453029e-003	3.279702e+000
1.029685546845296e-003	3.223453e+000
1.034087219235653e-003	2.939548e+000
1.039513846220977e-003	2.309107e+000
1.045845838501958e-003	1.280303e+000
1.050535525266969e-003	3.786442e-001
1.054779955464101e-003	-4.816532e-001
1.059040090009358e-003	-1.301089e+000
1.064680930780720e-003	-2.247844e+000
1.068663392960721e-003	-2.788272e+000
1.070765933988855e-003	-3.003974e+000
1.072331902944337e-003	-3.121773e+000
1.074123301493998e-003	-3.214773e+000
1.076173868880347e-003	-3.271270e+000
1.078410763908044e-003	-3.262847e+000
1.082037443945400e-003	-3.104181e+000
1.086745378944959e-003	-2.667663e+000
1.092952486584643e-003	-1.782706e+000
1.098462442459407e-003	-7.881833e-001
1.102848755964383e-003	8.994949e-002
1.107304482488321e-003	9.774995e-001
1.112075935996067e-003	1.831062e+000
1.117647599176135e-003	2.661413e+000
1.120023182686260e-003	2.935415e+000
1.121774800111630e-003	3.083216e+000
1.123449485745214e-003	3.185366e+000
1.125281537059617e-003	3.256922e+000
1.126958422785793e-003	3.279702e+000
1.129685833133542e-003	3.223441e+000
1.134087677664465e-003	2.939505e+000
1.139514426874365e-003	2.309024e+000
1.145846448756251e-003	1.280190e+000
1.150536073507837e-003	3.785338e-001
1.154780487445087e-003	-4.817603e-001
1.159040599807896e-003	-1.301182e+000
1.164681651857936e-003	-2.247953e+000
1.168663645370442e-003	-2.788302e+000
1.170766119779714e-003	-3.003990e+000
1.172332042767484e-003	-3.121782e+000
1.174123471393109e-003	-3.214781e+000
1.176173932190584e-003	-3.271271e+000
1.178410866889120e-003	-3.262845e+000
1.182037610151194e-003	-3.104171e+000
1.186745531415588e-003	-2.667646e+000
1.192952692858984e-003	-1.782672e+000
1.198462551335477e-003	-7.881625e-001
1.202848844738651e-003	8.996761e-002
1.207304548488966e-003	9.775121e-001
1.212076051991703e-003	1.831081e+000
1.217647654752602e-003	2.661420e+000
1.220023223042548e-003	2.935419e+000
1.221774830273960e-003	3.083218e+000
1.223449522048050e-003	3.185368e+000
1.225281601517210e-003	3.256924e+000
1.226958527736948e-003	3.279702e+000
1.229686003528815e-003	3.223435e+000
1.234087950515257e-003	2.939481e+000
1.239514772463879e-003	2.308975e+000
1.245846811963376e-003	1.280124e+000
1.250536399806500e-003	3.784681e-001
1.254780804066050e-003	-4.818240e-001
1.259040903226566e-003	-1.301237e+000
1.264682081022909e-003	-2.248018e+000
1.268663795595065e-003	-2.788320e+000
1.270766230355613e-003	-3.004000e+000
1.272332125985194e-003	-3.121787e+000
1.274123572511128e-003	-3.214785e+000
1.276173969870597e-003	-3.271272e+000
1.278410928179807e-003	-3.262843e+000
1.282037709070950e-003	-3.104165e+000
1.286745622173165e-003	-2.667635e+000
1.292952815630345e-003	-1.782652e+000
1.298462616135628e-003	-7.881501e-001
1.302848897575022e-003	8.997837e-002
1.307304587771420e-003	9.775195e-001
1.312076121029996e-003	1.831093e+000
1.317647687830241e-003	2.661424e+000
1.320023247061557e-003	2.935422e+000
1.321774848225796e-003	3.083220e+000
1.323449543654567e-003	3.185369e+000
1.325281639880712e-003	3.256924e+000
1.326958590201176e-003	3.279702e+000
1.329686104943673e-003	3.223431e+000
1.334088112908833e-003	2.939466e+000
1.339514978146888e-003	2.308946e+000
1.345847028131742e-003	1.280084e+000
1.350536594008317e-003	3.784291e-001
1.354780992507945e-003	-4.818619e-001
1.359041083810952e-003	-1.301270e+000
1.364682336446747e-003	-2.248056e+000
1.368663885002540e-003	-2.788331e+000
1.370766296165907e-003	-3.004006e+000
1.372332175513041e-003	-3.121791e+000
1.374123632692584e-003	-3.214788e+000
1.376173992296243e-003	-3.271273e+000
1.378410964657586e-003	-3.262843e+000
1.382037767944040e-003	-3.104161e+000
1.386745676192885e-003	-2.667629e+000
1.392952888700455e-003	-1.782640e+000
1.398462654702439e-003	-7.881427e-001
1.402848929021504e-003	8.998483e-002
1.407304611151197e-003	9.775240e-001
1.412076162119472e-003	1.831100e+000
1.417647707516909e-003	2.661427e+000
1.420023261356846e-003	2.935423e+000
1.421774858910115e-003	3.083220e+000
1.423449556514030e-003	3.185369e+000
1.425281662713361e-003	3.256925e+000
1.426958627377756e-003	3.279702e+000
1.429686165302332e-003	3.223428e+000
1.434088209559884e-003	2.939457e+000
1.439515100561301e-003	2.308929e+000
1.445847156786651e-003	1.280060e+000
